W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 0/50/50, 3.00, 2, 1
1, 5, 5, 80/20/0, 1.67, 0, 0
2, 5, 5, 60/0/40, 2.50, 2, 1
3, 6, 6, 17/67/17, 3.00, 2, 0
4, 5, 5, 20/40/40, 1.67, 0, 1
5, 6, 6, 50/50/0, 3.00, 0, 1
6, 6, 6, 0/17/83, 3.00, 1, 1
7, 5, 5, 20/20/60, 2.50, 1, 1
8, 5, 5, 80/0/20, 2.50, 3, 0
9, 5, 5, 40/60/0, 2.50, 1, 1
10, 4, 4, 25/0/75, 2.00, 0, 0
11, 2, 2, 50/0/50, 1.00, 0, 0
12, 3, 3, 67/33/0, 1.00, 0, 0
13, 5, 5, 0/60/40, 2.50, 0, 0
14, 5, 5, 60/40/0, 2.50, 0, 1
15, 4, 4, 0/75/25, 1.33, 0, 1
16, 4, 4, 50/25/25, 1.33, 0, 0
17, 4, 4, 0/0/100, 4.00, 0, 0
18, 5, 5, 80/20/0, 2.50, 0, 0
19, 3, 3, 33/67/0, 1.00, 0, 0
20, 6, 6, 0/0/100, 6.00, 0, 0
21, 6, 6, 33/67/0, 3.00, 0, 0
