W:ID, W1, M1, ShS%, AvSL, ScPA, OpRF
0, 6, 6, 17/17/67, 3.00, 1, 0
1, 5, 5, 60/0/40, 1.67, 0, 0
2, 5, 5, 40/40/20, 2.50, 2, 0
3, 5, 5, 40/40/20, 1.67, 0, 0
4, 6, 6, 0/50/50, 3.00, 3, 1
5, 5, 5, 20/60/20, 5.00, 0, 0
6, 6, 6, 33/50/17, 3.00, 1, 0
7, 5, 5, 60/0/40, 1.67, 1, 0
8, 5, 5, 40/0/60, 2.50, 1, 1
9, 6, 6, 17/50/33, 3.00, 3, 1
10, 3, 3, 67/33/0, 1.50, 0, 0
11, 4, 4, 25/0/75, 2.00, 0, 0
12, 5, 5, 40/60/0, 1.67, 0, 0
13, 3, 3, 0/67/33, 1.00, 0, 0
14, 4, 4, 75/25/0, 1.33, 0, 1
15, 5, 5, 40/0/60, 1.67, 0, 0
16, 4, 4, 0/100/0, 2.00, 0, 0
17, 6, 6, 17/33/50, 3.00, 0, 0
18, 4, 4, 0/50/50, 1.33, 0, 1
19, 5, 5, 80/0/20, 2.50, 0, 0
20, 5, 5, 60/40/0, 2.50, 0, 0
21, 3, 3, 0/33/67, 1.50, 0, 0
